id,filename,hypo
0,audio_0.wav,тревожная музыка
1,audio_1.wav,смех
2,audio_2.wav,батиша жрел ракта грямли сюда иди я сказал
3,audio_3.wav,высоль не понял
4,audio_4.wav,быстро за мной
5,audio_5.wav,ты где весь сентябрь уроки прогулил вообще
6,audio_6.wav,на команде телевизор твоей дома вынесет мам ну областная клиническая больница где ты взял такую печать
7,audio_7.wav,я в топ30 обатал тем с два
8,audio_8.wav,у меня реакция 140 милисекунд витя только прошу не убивай его
9,audio_9.wav,значит так лев завтра снего дня берешься за лун и наверх что вы же все что пропустил и никакого тебе компьютера
10,audio_10.wav,пока не закончишь четверть без трое
11,audio_11.wav,отлично выгодишь у чери миссия поздравляю
12,audio_12.wav,угу
13,audio_13.wav,спокойная музыка
14,audio_14.wav,тревожная музыка
15,audio_15.wav,тревожная музыка
16,audio_16.wav,тревожная музыка
17,audio_17.wav,нужно както под масками чтобы они почувствовали себя важными они короче теперь курируют проект
18,audio_18.wav,вестом меня валиса
19,audio_19.wav,в общем все что ты могла ты уже сделала поэтому просто снять зал и расслабься кстати у меня для тебя еще сюрприз и гнать еще один
20,audio_20.wav,девушка
21,audio_21.wav,я все хратва с видеть в этом замечательном месте как известно цертериор занимается поиском и поддержкой таланки в имолахе
22,audio_22.wav,чего встал еще не си
23,audio_23.wav,тревожная музыка
24,audio_24.wav,тревожная музыка
25,audio_25.wav,всем саламата карпатыч салент запоздания
26,audio_26.wav,ну и
27,audio_27.wav,подписываем контракт но будет жесткий будет смотреть не только тебя на рабочий день по 10 часов точно готов
28,audio_28.wav,а вот и тут
29,audio_29.wav,да конечно пацаны мне лишь бы возможность я вывезу вывезу окей тогда на связи сообщу чукак до свидания
30,audio_30.wav,аа
31,audio_31.wav,нашми станет занятым жтяг так кто их заметит если вы тут круглосуточно
32,audio_32.wav,как вас еще не очисли знаешь шарабище ты чего за такого сделать
33,audio_33.wav,47 основан
34,audio_34.wav,стайланды давайте посмотрим как у нас проходит обычная памя
35,audio_35.wav,и не будем мешать занятия заметили в аудитории есть свободные места но ни одному прогулщику не сойдет это с рук
36,audio_36.wav,в конце семья строка каждый будет обязан скачать распечатать репера из минусов может ком толчке не двери
37,audio_37.wav,молодой человек вы бы ещё посредимая позвонили на мору коль же закрыт готу чё дно идёт никаких исключений нет совсем
38,audio_38.wav,а здесь какието особые достижения вряд ли к намто к ней приходит так что ждем вас в следующем году унивешать и работать
39,audio_39.wav,тревожная музыка
40,audio_40.wav,а есть тут на принтер задача нашего чемпионата
41,audio_41.wav,не просто разъивать но и поощрять интерес к точным наукам и мы сделаем все чтобы наши ребята
42,audio_42.wav,в свере айти технологий были впереди планеты всей ну я и моя команда для этого делаю все
43,audio_43.wav,как говорится не спим работаем не покладай руку пожалуйста
44,audio_44.wav,а у вас в буклете указано что в конкурсе будет целых 7 этапов а почему так много
45,audio_45.wav,ну а почему бы и нет
46,audio_46.wav,потому что их четыре вам даже в укле было лень заклянуть да
47,audio_47.wav,а чьи но у девушки все неплохой настроение чьи но встал и не стои ноги
48,audio_48.wav,это возможно лучший нервный срыв года еще и от лица компании теперь все наши контракты с министерством по два вопроса алиса
49,audio_49.wav,ну они такие приехали в алии да кто тебе сказал вали дура я тебе вообще место замы готовил
50,audio_50.wav,не может быть и не будет алисенька потому что ты решил устроить стендап и всех насутопить
51,audio_51.wav,ну может смеет он не интересно не интересно да
52,audio_52.wav,человек прожил 22 часа в пасти кита вот вот чем ты уволила
53,audio_53.wav,динамичная музыка
54,audio_54.wav,редактор субтитров асинецкая корректор аегорова
55,audio_55.wav,динамичная музыка
56,audio_56.wav,тревожная музыка
57,audio_57.wav,тревожная музыка
58,audio_58.wav,динамичная музыка
59,audio_59.wav,тревожная музыка
60,audio_60.wav,полиции
61,audio_61.wav,тревожная музыка
62,audio_62.wav,тревожная музыка
63,audio_63.wav,тревожная музыка
64,audio_64.wav,какое мы с временной девушкой
65,audio_65.wav,и не постояние
66,audio_66.wav,наскрывается удивительная великая тайна
67,audio_67.wav,наш мир он наградует
68,audio_68.wav,полицейская музыка
69,audio_69.wav,тревожная музыка
70,audio_70.wav,тревожная музыка
71,audio_71.wav,полицейская музыка
72,audio_72.wav,тревожная музыка
73,audio_73.wav,тревожная музыка
74,audio_74.wav,тревожная музыка
75,audio_75.wav,тревожная музыка
76,audio_76.wav,динамичная музыка
77,audio_77.wav,редактор субтитров асинецкая корректор аегорова
78,audio_78.wav,тревожная музыка
79,audio_79.wav,тревожная музыка
80,audio_80.wav,тревожная музыка
81,audio_81.wav,полицеская музыка
82,audio_82.wav,тревожная музыка
83,audio_83.wav,тревожная музыка
84,audio_84.wav,стречайте участниц национального конкурса в исросе 2023
85,audio_85.wav,полицейская музыка
86,audio_86.wav,думаю сегодня гимбизарета 22тихе долиятие
87,audio_87.wav,динамичная музыка
88,audio_88.wav,морозова и готерина 22 года коза
89,audio_89.wav,тревожная музыка
90,audio_90.wav,екатерина 21 год аренбургская область
91,audio_91.wav,динамичная музыка
92,audio_92.wav,полицеская музыка
93,audio_93.wav,субтитры commission
94,audio_94.wav,не премова гевизорета 19летний умер иская область
95,audio_95.wav,тревожная музыка
96,audio_96.wav,аликсина елиза ветра 22 года биря биджан
97,audio_97.wav,алива мариана 22 года республика дагестан
98,audio_98.wav,веселая музыка
99,audio_99.wav,взлет
100,audio_100.wav,веселая музыка
101,audio_101.wav,захарченька ксинья 22 года краснодарский край
102,audio_102.wav,полицейская музыка
103,audio_103.wav,полицейская музыка
104,audio_104.wav,скажьевич александра 18 лет тюмейн
105,audio_105.wav,карибова камилла 22 года нижний камско
106,audio_106.wav,антонова анастасия 23 года республика мария л
107,audio_107.wav,погрел
108,audio_108.wav,здравствуйте здравствуйте ну что
109,audio_109.wav,вы готовы ксянс да готов что надо делать давай
110,audio_110.wav,говорите слово в общем у меня девушка и вижу вижу
111,audio_111.wav,ох огненная девка а ну давайте посмотрим что там за принцесса у моего принца кто она
112,audio_112.wav,императрицам её изовут ехатерина но это шикарная красивая и забильная ресурсная женщина
113,audio_113.wav,что тебя в ней не устраивает а есть никто будет готовить просто сейчас все вокруг такие ресурсные а иногда просто хочется
114,audio_114.wav,и вмешан бахом
115,audio_115.wav,ухи расславну женщины императрицы понимаешь она для любви они для обеда да
116,audio_116.wav,ну это яндекс еда
117,audio_117.wav,но я так и думала что это яндекс еда ну конечно доставать телефончик прямо сейчас надо скачивать ведь в яндекс еде есть все о чем только можно мечтать
118,audio_118.wav,это из сучной хинкали и горячая пицца ароматный плов и в
119,audio_119.wav,кусные бургеры там абсолютно все вкусы мира они вам из автор и обед и ужин привезут в расписанию
120,audio_120.wav,а это что за знак что значит фиолетовая молния по высшему спросу
121,audio_121.wav,мы хорошие здесь тебе подскажут не карты а просто вот мой жизненный опыт я делюсь магическим советом слушай чем были ижжеры старан
122,audio_122.wav,тем дешевле будет доставка понимаешь да а если заказать самовывас экономия еще больше но это же замечательно
123,audio_123.wav,тревожная музыка
124,audio_124.wav,ты такой глубокий и эрофант но вы вообще не можете быть вместе и башни это разрушение но нет но тебе нужна какаято женщина на таких более тонких матерях
125,audio_125.wav,а ты важно а вы после работы что делаете
126,audio_126.wav,смех
127,audio_127.wav,динамичная музыка
128,audio_128.wav,какой будет сегодня мотор предсказание на мотор поехали
129,audio_129.wav,слушайте будет мотор один из сильных потому что все же знают как мы сегодня рассматриваем
130,audio_130.wav,это классно это легендарный выпуск уже о приоре почему
131,audio_131.wav,в том числе это есть очень много как бы есть имейфов связанных с этим знаком и какихто астрахов вообще тайн
132,audio_132.wav,интересно же понять подтвердиться провергнется да я помню царской крапилонов скаладжонс
133,audio_133.wav,шоу в котором ведущие разбирают на тальную карту гостя алесев это очень сильно верит а дима очень сильно сомневается кто из них прав
134,audio_134.wav,решит гость отдав своего шебней шар одной сторон
135,audio_135.wav,о скрепион
136,audio_136.wav,что
137,audio_137.wav,а ты с биологией не веришь что ну что лейсия верит ну ладно ладно ладно я каранчик полукровка ну а
138,audio_138.wav,типа да вот это моя любимая киноксилета три я типа и верю и не верю одновременно
139,audio_139.wav,у меня до вас был психаналит это связано да я и рассказываю что я иду я же не говорю
140,audio_140.wav,ну что сейчас будем ире делать начальный расклад
141,audio_141.wav,ты договорились
142,audio_142.wav,комментарии то хвалибный а я вот кстати хочу сказать что у нас
143,audio_143.wav,очень доброго дитора да да правила бог пожалуй люди хоть здесь не засрите меня ну ну рыба ну что делать
144,audio_144.wav,ну живу с этим
145,audio_145.wav,так смотри в первых никогда мы на мужчину не кричим даже на картах да мой хороший мой золотой спасибо да
146,audio_146.wav,всем привет это 16й выпуск шоу к стати с азоматом харламовым
147,audio_147.wav,я вот же не тесту купил
148,audio_148.wav,как и мой мотоцикл тоже и мы сейчас ищем крестных для наших детей
149,audio_149.wav,почему ли
150,audio_150.wav,простор и он говорит все остановить все спрестигнить выдохни и просто вот сейчас просто возьми правой ногой нажми
151,audio_151.wav,и дал газа до конца
152,audio_152.wav,дадада дадада не надо не надо не надо вот такая вотная а с каких пор ты очень скорость полюбилто на мотоцикле так вот это ты вообще испытываешь ну
153,audio_153.wav,такие пилигрузы от 14х
154,audio_154.wav,вообще я тебе скажу что конечно лица мертвчистой воды просто
155,audio_155.wav,он тут менять распинал он распинался а как мне помочь розить к мотопробу что
156,audio_156.wav,живого места не оставила на свои репутации влять наши сборные с кеманской скеней двадва сыграла
157,audio_157.wav,с комируном 10 я прослёшь разбирайся это круто или
158,audio_158.wav,но футболы не знают что это там же мяч круглый поляровная там надо смотреть
159,audio_159.wav,бешумный убийца назвали словом ассасин
160,audio_160.wav,ладно все испозитивного что произошло
161,audio_161.wav,ну человек кого знает
162,audio_162.wav,ну как бы там и не отчебро связывать и он сейчас рассказывает не может
163,audio_163.wav,слушайте вот новость
164,audio_164.wav,аплодисменты
165,audio_165.wav,абира хочется поздравить от всей души смешарики с ним прошеднее властяш да да не закругляйтесь да да да
166,audio_166.wav,чтобы из наших детей не выросли такие ребята как денис дорохов которые предлагают подрисовать
167,audio_167.wav,ну и вырастут такие умные парни как лёжщичербаков мы начинаем
168,audio_168.wav,редактор субтитров асемкин корректор аегорова
169,audio_169.wav,редактор субтитров а синецкая корректор а кулакова
170,audio_170.wav,друзья я позвал к нам сюда
171,audio_171.wav,понастоящему большого гости он старший тебя азамат так да
172,audio_172.wav,он старше меня а не много людей но старший тебя денис поэтому
173,audio_173.wav,аплодисменты
174,audio_174.wav,а конечно ты на меня бульдога натравили да
175,audio_175.wav,это не название города это именно
176,audio_176.wav,да я говорил тебе я говорил
177,audio_177.wav,а кто это может быть вы к боярскому обратите чтобы к нам пришелся таким потому что мы теперь боимся
178,audio_178.wav,аплодисменты
179,audio_179.wav,значит денис смотри если что вы мне напомните денис денис запомни самое главное запомни что для тебя
180,audio_180.wav,три ждала уряд применника так не мы обращайте
181,audio_181.wav,история ничего не учит но наказывает за не знание ее уроков
182,audio_182.wav,это фраза принадлежит василию ключевскому известному историю и профессору московского университета история не только помогает анализировать
183,audio_183.wav,процессы которые происходят сегодня но в какомто смысле предугадовать будущее зная историю
184,audio_184.wav,можно хотя бы попытаться не повторять ошибок прошлого опираясь на эти тезисы мы запускаем новый проект «история россии»
185,audio_185.wav,героем нашего первого выпуска станет александр неский полководец который не потерпел ни одного поражения
186,audio_186.wav,политик который определил курс российского государства
187,audio_187.wav,на несколько столетий вперед
188,audio_188.wav,для начала давайте поговорим о том какой был арус в 13 веке
189,audio_189.wav,как вы можете видеть мы находимся в древнем городе вот так выглядели практически все крупные поселения на тот момент
190,audio_190.wav,никаких бизнессэнтеров вместо них оборонительные башни не филодорожик никаких кофеин
191,audio_191.wav,и ресторанов только репа главный экономический торговый центр руси на тот момент
192,audio_192.wav,вовсе немасква она в городской республике она занимает огромную территорию от северного ледовита вакеану до верховья в волги
193,audio_193.wav,управляет новгородом князь но в действительности вся власть сосредоточена в руках вече и боя
194,audio_194.wav,именно они выбирают вняже а ниже могут его изгнать
195,audio_195.wav,помимо всего прочего рустрина от столвека раздроблена нам множество пняжеских которые все время в рождует между собой за сферы влиять
196,audio_196.wav,и вот с такой обстановки в 1221 году на свет появляется александр невский
197,audio_197.wav,с малых лет на александра сваливается груст ответственности
198,audio_198.wav,ему еще предстоит удержать волос своих руках если вы живет конечно александр начинает править в новгородив 16 лет
199,audio_199.wav,и почти сразу сталкивается с первой серьезной опасностью князуству грозит нападения шведов
200,audio_200.wav,насильно обратительно в городцев католичества для этого рыцариса провождают католические еписки
201,audio_201.wav,в июле 1240го шведская войска высаживается в веке
202,audio_202.wav,в мусти реки не выв районе и жоры
203,audio_203.wav,александр решает выступить немедленно и ударить пока шведы не ожидают нападения
204,audio_204.wav,но бирьера 5000 военых
205,audio_205.wav,а он в городского князя только его дружина александр созывает народное ополчение и вскоре собирает под своей знаменом полторы
206,audio_206.wav,тысячи человек шведов все еще больше но проблема даже не в этом бирьер опытный закаленный в боях воен
207,audio_207.wav,у себя на родине он не менее известен чем александр неский в россии именно бирги расставался так гольм
208,audio_208.wav,и сегодня самая длинная улица шведской столицы названа в его честь александр хоть и участвовал сражениях но еще никак не было
209,audio_209.wav,невел войска на битву для него предстоящий бой – это еще и личный вызов
210,audio_210.wav,15 июля войсканных городцев нападает на шведов сразу с трех направлений
211,audio_211.wav,боярин говорила олегсич вверхом наконец прямо в сходнем въезжает на борьчеветской логии и начинает
212,audio_212.wav,он выбирается на берег и продолжает вой один из русских воинов пробирается шатер
213,audio_213.wav,биргера и подрубает опоры расскочный шадер один из символов власти ярла
214,audio_214.wav,подает на землю его в тапту будет в грязь сражение продолжается везде
215,audio_215.wav,в текведшеру биргера окончательно понимает что проиграл
216,audio_216.wav,после этой победы княсе александр получает
217,audio_217.wav,розвища невский помимо шведов у руси есть еще один противник
218,audio_218.wav,ливонский орган
219,audio_219.wav,летом 1240 рыцарей идут в поход на руч занимают изборск затем всков
220,audio_220.wav,их следующие цель нолгород
221,audio_221.wav,удивительно но даже зная о приближении противника на вгородские бояри изгоняют александра нескова
222,audio_222.wav,почему после победы над шведами влияние князя возросло бояри опасаются дальнейшего усиления его власти
223,audio_223.wav,бояри посылают князю ганцов и умоляют вернуться
224,audio_224.wav,с третьего раза александр соглашается он собирает силы и выбивает ли вонсов гонц
225,audio_225.wav,из пскова но главный битв из крестоноса еще впереди она пройдет 5 апреля 222 года на чутском озере
226,audio_226.wav,историки до сих пор спорят очисленности армии которые сосли с нальдовозера одни говорят о 15 тысячах русских и десяти
227,audio_227.wav,александр выстраивает своих воинов прямо на льду озера
228,audio_228.wav,в центре князь ставит лучника с флангов конницу за спиной русского войска выстроены барикады и забодов
229,audio_229.wav,заграждение должны помешать рыцарем выбраться на берег
230,audio_230.wav,крестоносцы наступают свинией дак на руси называют боевой порядок в форме тупоконечного клина
231,audio_231.wav,тогда александр приказывает конницы обойти ливонцов с фламгов и взять их в колеще заметьте что главные силы орденов
232,audio_232.wav,попали в ловушку с помогательной одрят крестоносцев ускорится в бегство
233,audio_233.wav,опасность угрожает руси не только с запада но и с востока в 1237м на страну
234,audio_234.wav,чернигов и киев отец александра великий гнязь владимирский герослав отправляется в сарай столицу золотой арбии
235,audio_235.wav,и первым из русских книзей просит у боты я ерлык на книжение
236,audio_236.wav,ерлык – это ханская граммата которая подтверждает
237,audio_237.wav,полномучие князя боты одобряют к индидатуру ярослава но отправляет князя в столицу мангольской империи
238,audio_238.wav,каракарум ерлык на гнижение он получит там из рук великого хана ерослав едет столицу встречается с ханом
239,audio_239.wav,но внезапно умирает на обратном пути судя по всему манголы его
240,audio_240.wav,отравили настоёт
241,audio_241.wav,очередь несколько нанести визит великому хану
242,audio_242.wav,но сначала он решает от
243,audio_243.wav,привыши всего манголы ценят воинскую доблость поэтому разбившие шведов русский князь вызывает ухану уважения
244,audio_244.wav,в приказу боты александру подносят чашу кумыса
245,audio_245.wav,выпить кумы со сханом великая честь но если не осушить чашу дотна можно нанести хану огромное оскорбление
246,audio_246.wav,заплатить за него скорее всего придется жизнь а по легенде чаша просто огромная боты внимательно следит за русским князем
247,audio_247.wav,а силет ли не поморщится
248,audio_248.wav,александр напивает чашу до конца с этого момента хан начинает ему покровительствовать поли денди
249,audio_249.wav,александр невский и вовсе стал ботыю приемным сыном русский князь якобы побратался с наследником кана с артаком
250,audio_250.wav,подружиться с харизматичным пнязем дальнейший путь не вского лежит в мангольскую столицу
251,audio_251.wav,отбатые пучь 5
252,audio_252.wav,тысяч километров и пока княсь с младшим братом андреем довераются до города правителем перри умирает
253,audio_253.wav,теперь вылайся средо точен на в руках его вдовы
254,audio_254.wav,тааааааааааааааааааааааааааааааааааааааааааааааааааааaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
255,audio_255.wav,эй
256,audio_256.wav,это второй сезон первого онлайнсоупровозы
257,audio_257.wav,в этом сезоне мы собрали целую команду 5 популярных блогеров чтобы проверить университета россии
258,audio_258.wav,что скрывается за дорогими лабораториями
259,audio_259.wav,человек с высшим историческим образованием антон он уже прошел этот путь и точно знает как правильно сочетать студенческий быт
260,audio_260.wav,и науку возы готовы к нетрадиционному взгляду на них
261,audio_261.wav,зачет или перездача врываемся в новый сезон престигнитесь мене намирины останавливаться по дороге
262,audio_262.wav,динамичная музыка
263,audio_263.wav,тревожная музыка
264,audio_264.wav,я рад тебя видеть я тебя тоже антон супер селёшки спасибо всем привет ревузор снова с вами
265,audio_265.wav,и с нами у нас много нового теперь целая команда но доверить начать этот сезон мы решили старичка
266,audio_266.wav,антон это сейчас про кого был ты ну ладно я соскучилась а ты а вы
267,audio_267.wav,у нас на пути
268,audio_268.wav,главный вус российской ядерной энергетики один из немногих сочетающих себе фундаментальную физику инженерию это важно антон
269,audio_269.wav,инженеры физики ждут нас
270,audio_270.wav,я бы не был так уверен но всетаки я подготовил список главной хлокации по ним мы и отправимся тебе осталось только переодеться ты же далставку взяла
271,audio_271.wav,ну конечно взяла пойдем
272,audio_272.wav,это не тайное заклинание или приветствие на корейском это рушевруется как национальный исследовательский ядерный университет
273,audio_273.wav,мосговский инженернофизически институт факт 1
274,audio_274.wav,это один из первых двух национальных исследовательских университетов россии
275,audio_275.wav,он ведет историю с 1942 года интересно что первые занятия тут начались первого января 43го
276,audio_276.wav,да уж а современные студентов не то что первого к первой не всегда соберёшь
277,audio_277.wav,факт второй инфад для любителей считать шаги комплекс вуза это 57 зданий и с оружием он занимает в территорию в 19 гектаров
278,audio_278.wav,ущущие площадь учебных и исследовательских корпусов составляет более 963000 квадратных метров и это только московский компус
279,audio_279.wav,факт в третий шесть сотрудников и преподаватели мифи получили номили в сквупринию груто это всетаки побольше чем в повышенной степенде
280,audio_280.wav,факт четвердый
281,audio_281.wav,уже еще в поиске сколько баллов нужно набрать для поступления не спеши мы все расскажем
282,audio_282.wav,средний балл для прохождения на бюджет в 2023 году к 93 балла
283,audio_283.wav,при этом минимальный средний балл чуть больше 87 баллов в институте финансовых технологий и экономической безопасности
284,audio_284.wav,сложнее всего поступить в институт международных отношений здесь средний балд достигает почти 100 баллов для профильных направлений средний балд такие
285,audio_285.wav,факт пяды
286,audio_286.wav,слышь я не могу
287,audio_287.wav,кстати мифии находится на 18м месте в медиаритин гевузов россии по информации на август 2023 года
288,audio_288.wav,вы как там
289,audio_289.wav,расгоняем частицы рин может за студенда начнем
290,audio_290.wav,привет привет привет как тебя зовут сколько тебе лет на кого учишься привет я миша
291,audio_291.wav,первый шел на второй курс успешно недавно сэйсию закрыл со средними оценками потому что немножко был раздалбаем под конец года ну потом собрался потом собрался и я учусь на
292,audio_292.wav,безопасника вционно безопасность мы когданибудь готовимся к поступлению в этот лус я учусь на сорк тору кайфедера информационной безопасности почему ты выбрала именно мифе
293,audio_293.wav,вопервых это очень престижную университета вовторых здесь есть направление экономической безопасности
294,audio_294.wav,да вступить трудно но как говорится чемто внее поступить значит тем лучшее будет образование а подготовительное обучение оно платьное бесплатное бесплатное
295,audio_295.wav,технически науки хорошо изучается а даже если учиться в какихнибудь гументарных узах все равно в будущем в профессии понадобится знание всех вот этих
296,audio_296.wav,технических наук у нас есть реактор и это главный фактор
297,audio_297.wav,спокойная музыка
298,audio_298.wav,где мы идем привет привет ждал нас да может предупреждение как так я догадывался что предупосмотреть
299,audio_299.wav,скажите нам теперь что здесь делает что здесь происходит ну вот у вас на экране находится сейчас с фровой
300,audio_300.wav,сфалая копия реактор иртеми фин
301,audio_301.wav,то есть как есть автомобильные
302,audio_302.wav,симулятора обучения самолёта и симулятора обучения так уже есть ядерный все правильно окей симулятора это понятно а какие еще возможности применения для чего это
303,audio_303.wav,ну также есть возможность проведения виртуальных экспериментов лабораторных работ для студентов и в целом развития
304,audio_304.wav,виртуальных технологий с точки зрения елерных физики а можно попробовать конечно
305,audio_305.wav,смотрите у вас есть вот под большим пальцем
306,audio_306.wav,спокойная музыка
307,audio_307.wav,ага
308,audio_308.wav,эхарина рина приходи на перездачу
309,audio_309.wav,динамичная музыка
310,audio_310.wav,ты живешь в общаге или ездишь из дома а я живу в общаге а на улицкошке надо
311,audio_311.wav,шик будет
312,audio_312.wav,а таракана есть ну что есть везде есть у рынжи жизни в обижите на среднем какомто показательных хоть здание так или иначе старое оно я думаю готов 60 экзостройки
313,audio_313.wav,но сейчас есть новый общежития куда хочется попробовать так же отобраться
314,audio_314.wav,не иметь десбленанных засканий
315,audio_315.wav,общежите это больше не про какието условия там все такое это прятмосферу
316,audio_316.wav,у вас контингент преподаватель взрослый или всетаки более молодой
317,audio_317.wav,а вы ребята кто собирается поступать смотрите обязательно ревузор и выбирайте вуз
318,audio_318.wav,без идеального совпадения не сложится идеальная картинка
319,audio_319.wav,привет я сашем не 21 год скоро я окончего института и всю свою сознательную жизнь я помогаю людям
320,audio_320.wav,родители меня так воспитали что для меня это не какойто героист а норма жизни я много работал в волонтером на разных мероприятиях
321,audio_321.wav,спортивные турниры конференции в библиотеках танцев
322,audio_322.wav,и многие другие добрые дела для меня лучший стимул продолжать творить добро это радостные эмоции
323,audio_323.wav,и счастливые глаза людей которым я смог помочь я согитировал многих своих друзей продолжать творить эту цепочку добраться
324,audio_324.wav,потому что я абсолютно уверен что доброво возвращается
325,audio_325.wav,недавно я наткнулся на информацию о том что можно стать донором косного мозга я никогда ничего об этом не слышал
326,audio_326.wav,и вот решил узнать
327,audio_327.wav,костный мозг не берут из позвоночника донация косного мозга и легимопытических столах крето крови существует два способа первый способ
328,audio_328.wav,способ этой способ аферезом
329,audio_329.wav,и представляет он на себя как банальную задачу
330,audio_330.wav,крови или трампоцитов или плазмы то есть какихто компонентов крови но для того чтобы клетки гемопоетически с ловой клетки крови
331,audio_331.wav,оказались непосредственно в крови верят этой процедоры донору будут вводить специальный препарат который поможет просто выйти этим гимопетическим саламым клетком
332,audio_332.wav,как правило метата фераза применяется настаще время в большинстве случаев практически 95
333,audio_333.wav,путём прокола тазовых костей и забора непосредственно косного мозга и тазов в костей конечно же это процедура
334,audio_334.wav,проводится в условиях операционной предварительно с донером будет общаться не только
335,audio_335.wav,гиматолог трансфизиолог который будет проводить эксквозию к основу мозга
336,audio_336.wav,и также врач анастезиолог который подберёт конкретно для этого донора определенной
337,audio_337.wav,типа анатезиологического пособия во время донации донар донирует меньше 1 от всех гимопоетических столовых клеток крови
338,audio_338.wav,практически безболезненное и на текущий момент не опасная процедура поскольку настаще время мы знаем все возможные побочные эффекта того или иного
339,audio_339.wav,применяем его лекарственного средства или метода лечения
340,audio_340.wav,и мы предотвращаем все возможные последствия все донеры проходят
341,audio_341.wav,комплексное исследование перед процедурой донат и конечно же для нас очень важно чтобы донор был полностью здоров чтобы быть
342,audio_342.wav,полностью уверены что мы не навредим
343,audio_343.wav,какихто трамбозов мы забираем крайне малое количество емопоетически столовых клетокрови буквально 1 от всех
344,audio_344.wav,в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку в клеточку
345,audio_345.wav,буквально дветри недели законадательно донор может отказаться на любом этапе от проведения донации
346,audio_346.wav,каждый донор который ступил в регистр должен понимать о том что когда ему позвонили и сказали что вы подходите для конца
347,audio_347.wav,это не только ему сообщили какуюто новость это и пациенту сообщили тоже новость о том что ему найден донор
348,audio_348.wav,конечно же пациенты — это люди которые страдают анкологическими анкогиматологическими заболеваниями
349,audio_349.wav,для них появляется огромная надежда на спасение на то что они
350,audio_350.wav,будут живы после транспантации человек который вступил в регистер доноровкостного мозга должен держать постоянный контакт с регистром если он вдруг у меняет свою
351,audio_351.wav,контактные данные поскольку ему могут не звонить длительное время
352,audio_352.wav,так же донору необходимо понимать о том что
